Time (sec),Rotation_X (deg),Height_Z (mm)
0.000,0.000,0.000
0.033,0.000,0.000
0.067,0.000,-0.003
0.100,0.002,-0.006
0.133,0.000,-0.006
0.167,-0.000,-0.006
0.200,0.002,-0.006
0.233,0.003,-0.006
0.267,0.003,-0.006
0.300,0.003,-0.005
0.333,0.003,-0.005
0.367,0.001,-0.005
0.400,0.001,-0.005
0.433,0.001,-0.005
0.467,0.002,-0.004
0.500,0.002,-0.004
0.533,0.002,-0.004
0.567,0.003,-0.006
0.600,0.005,-0.008
0.633,0.006,-0.009
0.667,0.006,-0.009
0.700,0.006,-0.009
0.733,0.006,-0.009
0.767,0.006,1.694
0.800,0.008,1.521
0.833,0.008,1.521
0.867,0.008,1.521
0.900,0.008,1.521
0.933,0.006,1.368
0.967,0.006,1.368
1.000,0.006,1.368
1.033,0.006,1.230
1.067,0.004,1.108
1.100,0.004,1.108
1.133,0.002,0.996
1.167,0.002,0.996
1.200,0.001,0.895
1.233,0.002,0.803
1.267,0.002,0.803
1.300,0.002,0.721
1.333,0.002,0.721
1.367,0.002,0.721
1.400,0.002,0.721
1.433,0.002,0.648
1.467,0.002,0.582
1.500,0.001,0.523
1.533,0.001,0.523
1.567,0.001,0.523
1.600,0.001,0.523
1.633,0.003,0.467
1.667,0.004,0.418
1.700,0.004,0.375
1.733,0.003,0.335
1.767,0.003,0.335
1.800,0.003,0.300
1.833,0.002,0.270
1.867,0.001,0.242
1.900,0.003,0.215
1.933,0.002,0.193
1.967,0.002,0.193
2.000,0.001,0.173
2.033,0.002,0.153
2.067,0.002,0.153
2.100,0.002,0.153
2.133,0.002,0.153
2.167,-0.000,0.138
2.200,-0.000,0.138
2.233,-0.000,0.138
2.267,-0.000,0.138
2.300,-0.000,0.138
2.333,0.001,0.121
2.367,0.001,0.121
2.400,0.001,0.121
2.433,0.002,0.107
2.467,0.002,0.107
2.500,0.001,0.096
2.533,0.002,0.085
2.567,0.002,0.085
2.600,0.003,0.074
2.633,0.003,0.065
2.667,0.003,0.057
2.700,0.003,0.050
2.733,0.003,0.050
2.767,0.002,0.044
2.800,0.003,0.037
2.833,0.003,0.037
2.867,0.005,0.031
2.900,0.005,0.031
2.933,0.005,0.031
2.967,0.004,0.028
3.000,0.004,0.028
3.033,0.003,0.023
3.067,0.003,0.023
3.100,0.003,0.023
3.133,0.003,0.023
3.167,0.003,0.023
3.200,0.003,0.023
3.233,0.005,0.018
3.267,0.005,0.018
3.300,0.005,0.018
3.333,0.005,0.018
3.367,0.005,0.018
3.400,0.005,0.018
3.433,0.005,0.018
3.467,0.005,1.717
3.500,0.005,1.717
3.533,0.005,1.717
3.567,0.005,1.717
3.600,0.005,1.717
3.700,0.005,1.717
3.733,0.005,1.523
3.767,0.005,1.523
3.800,0.552,2.534
3.833,0.552,2.534
3.867,0.552,2.248
3.900,1.085,3.209
3.933,1.637,4.033
3.967,1.637,4.033
4.000,1.637,4.033
4.033,1.637,4.033
4.067,2.133,4.891
4.100,2.133,4.891
4.133,2.133,4.891
4.167,2.568,5.648
