Time (sec),X (mm),Y (mm),Z (mm)
0.333,0.000,0.000,0.000
0.400,-0.003,0.000,0.019
0.533,0.019,0.001,0.088
0.567,0.022,-0.002,0.155
0.600,0.008,-0.003,0.181
0.767,0.046,0.024,0.132
1.033,0.066,0.037,0.106
1.067,0.068,0.048,0.013
1.300,0.054,0.042,0.042
1.333,0.030,0.036,-0.014
1.500,0.102,0.009,-0.056
1.600,0.135,-0.195,-0.026
1.633,0.106,-0.175,-0.045
1.667,0.052,-0.199,-0.099
1.700,-0.000,-0.246,-0.132
1.767,0.012,-0.413,-0.152
1.800,0.052,-0.358,-0.141
1.867,0.084,-0.498,-0.142
2.100,0.124,-0.463,-0.083
2.167,0.132,-0.629,-0.005
2.200,0.166,-0.551,0.058
2.233,0.199,-0.481,0.075
2.267,0.244,-0.400,0.125
2.300,0.175,-0.359,0.091
2.333,0.122,-0.274,0.043
2.533,0.076,-0.294,-0.006
2.567,0.008,-0.313,-0.085
2.600,-0.045,-0.280,-0.013
2.700,-0.121,-0.255,-0.054
2.733,-0.053,-0.236,-0.077
2.767,0.004,-0.201,-0.115
2.833,0.042,-0.314,-0.094
2.933,0.054,-0.187,-0.036
2.967,0.088,-0.170,0.065
3.033,0.113,-0.157,0.090
3.067,0.100,-0.148,0.082
3.100,0.193,-0.116,0.076
3.133,0.075,-0.042,0.039
3.767,0.125,-0.022,0.077
3.833,0.204,-0.005,0.089
3.867,0.312,0.011,0.150
4.167,0.400,0.021,0.151
5.967,0.294,0.020,0.887
7.133,0.224,-0.087,0.053
7.167,0.169,-0.155,-0.724
7.333,0.155,-0.169,-1.483
7.467,0.035,-0.154,-2.204
7.500,-0.074,-0.135,-2.840
7.533,-0.124,-0.170,-3.352
7.567,-0.153,-0.301,-3.867
7.633,-0.187,-0.391,-4.397
7.667,-0.371,-0.161,-4.926
7.767,-0.403,-0.107,-5.287
7.800,-0.580,0.205,-5.646
7.867,-0.662,0.414,-5.902
7.900,-0.707,0.640,-6.174
7.933,-0.847,0.842,-6.398
7.967,-0.963,1.072,-6.649
8.000,-1.028,1.290,-6.918
8.033,-1.131,1.474,-7.156
8.067,-1.244,1.679,-7.314
8.100,-1.368,1.928,-7.493
8.133,-1.472,2.190,-7.618
8.167,-1.599,2.435,-7.778
8.200,-1.709,2.661,-7.872
8.233,-1.812,2.898,-7.935
8.267,-1.904,3.157,-8.091
8.300,-2.028,3.397,-8.186
8.333,-2.163,3.619,-8.203
8.433,-2.438,4.070,-8.358
8.467,-2.566,4.320,-8.473
8.500,-2.764,4.555,-8.510
8.533,-3.093,4.991,-8.661
8.567,-3.433,5.413,-8.707
8.600,-3.580,5.607,-8.707
8.633,-3.823,5.879,-8.644
8.667,-4.151,6.298,-8.717
8.700,-4.488,6.674,-8.834
8.733,-4.813,7.039,-8.869
8.767,-4.978,7.249,-8.906
8.800,-5.153,7.464,-8.988
8.833,-5.365,7.679,-9.065
8.867,-5.594,7.905,-9.078
8.900,-5.805,8.136,-9.084
8.933,-6.067,8.356,-9.180
