Time (sec),X (mm),Y (mm),Z (mm),Valid_Bot,Valid_Front
0.067,0.000,0.000,0.000,True,True
0.100,0.001,0.014,-0.000,True,True
0.133,0.002,0.027,0.001,True,True
0.167,0.000,0.039,0.004,True,True
0.200,-0.002,0.046,0.006,True,True
0.233,-0.004,0.047,0.008,True,True
0.267,-0.004,0.052,0.008,True,True
0.300,-0.007,0.061,0.011,True,True
0.333,-0.007,0.065,0.011,True,True
0.367,0.009,-0.100,0.012,True,True
0.400,0.009,-0.078,0.012,True,True
0.433,0.009,-0.059,0.012,True,True
0.467,0.009,-0.042,0.014,True,True
0.500,0.966,-0.027,0.014,True,True
0.533,0.966,-0.014,0.014,True,True
0.567,0.870,0.001,0.013,True,True
0.600,0.783,0.014,0.012,True,True
0.633,0.705,0.027,0.012,True,True
0.667,0.705,0.038,0.012,True,True
0.700,0.705,0.045,0.012,True,True
0.733,0.705,0.054,0.012,True,True
0.767,-0.327,0.061,1.716,True,True
0.800,-0.295,0.068,1.544,True,True
0.833,-0.295,0.075,1.544,True,True
0.867,-0.295,0.081,1.544,True,True
0.900,-0.295,0.093,1.544,True,True
0.933,-0.264,0.098,1.392,True,True
0.967,-0.264,0.098,1.392,True,True
1.000,-0.264,0.101,1.392,True,True
1.033,-0.237,0.106,1.254,True,True
1.067,-0.213,0.112,1.132,True,True
1.100,-0.213,0.117,1.132,True,True
1.133,-0.190,0.122,1.021,True,True
1.167,-0.190,0.122,1.021,True,True
1.200,-0.168,0.122,0.921,True,True
1.233,-0.149,0.125,0.829,True,True
1.267,-0.149,0.126,0.829,True,True
1.300,-0.131,0.129,0.747,True,True
1.333,-0.131,0.131,0.747,True,True
1.367,-0.131,0.134,0.747,True,True
1.400,-0.131,0.135,0.747,True,True
1.433,-0.117,0.136,0.675,True,True
1.467,-0.102,0.133,0.609,True,True
1.500,-0.087,0.132,0.550,True,True
1.533,-0.087,0.132,0.550,True,True
1.567,-0.087,0.133,0.550,True,True
1.600,-0.087,0.139,0.550,True,True
1.633,-0.077,0.143,0.494,True,True
1.667,-0.069,0.143,0.446,True,True
1.700,-0.061,0.142,0.403,True,True
1.733,-0.055,0.144,0.363,True,True
1.767,-0.055,0.144,0.363,True,True
1.800,-0.049,0.145,0.328,True,True
1.833,-0.043,0.146,0.298,True,True
1.867,-0.038,0.148,0.270,True,True
1.900,-0.031,0.149,0.243,True,True
1.933,-0.025,0.152,0.221,True,True
1.967,-0.025,0.156,0.221,True,True
2.000,-0.019,0.157,0.201,True,True
2.033,-0.014,0.158,0.181,True,True
2.067,-0.014,0.158,0.181,True,True
2.100,-0.014,0.158,0.181,True,True
2.133,-0.014,0.158,0.181,True,True
2.167,-0.011,0.158,0.166,True,True
2.200,-0.011,0.282,0.166,True,True
2.233,-0.011,0.393,0.166,True,True
2.267,-0.011,0.495,0.166,True,True
2.300,-0.011,0.585,0.166,True,True
